course_id,Title,URL,Short Intro,Category,Sub-Category,Course Type,Skills,Instructors,Rating,Number of viewers,Duration,Site,Level,Number of Reviews,Prequisites,What you learn,skills_list,domain
C0001,Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,Specialization,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ","Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,",4.9,10438.0,Approximately 3 months to complete,Coursera,,,,,"['Decision Trees', 'Artificial Neural Network', 'Logistic Regression', 'Recommender Systems', 'Linear Regression', 'Regularization to Avoid Overfitting', 'Gradient Descent', 'Supervised Learning', 'Logistic Regression for Classification', 'Xgboost', 'Tensorflow', 'Tree Ensembles']",Data Science
C0002,Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,Specialization,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ","Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,",4.7,11927.0,Approximately 5 months to complete,Coursera,,,,,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Deep Learning', 'Machine Learning', 'Big Data', 'Data Mining', 'Github', 'Jupyter notebooks', 'Rstudio']",Data Science
C0003,Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,Specialization,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ","Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,",4.6,2295.0,Approximately 7 months to complete,Coursera,,,,,"['Data Science', 'Github', 'Python Programming', 'Jupyter notebooks', 'Rstudio', 'Data Analysis', 'Pandas', 'Numpy', 'Probability And Statistics', 'Regression Analysis', 'Data Visualization (DataViz)', 'Statistical Hypothesis Testing']",Data Science
C0004,Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,Specialization,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ","Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,",4.9,129253.0,Approximately 5 months to complete,Coursera,,,,,"['Artificial Neural Network', 'Convolutional Neural Network', 'Tensorflow', 'Recurrent Neural Network', 'Transformers', 'Deep Learning', 'Backpropagation', 'Python Programming', 'Neural Network Architecture', 'Mathematical Optimization', 'hyperparameter tuning', 'Inductive Transfer']",Data Science
C0005,IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,Specialization,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ","Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,",4.8,262.0,Approximately 7 months to complete,Coursera,,,,,"['Data Science', 'Digital transformation', 'Artificial Intelligence (AI)', 'Business Strategy', 'Cloud Computing', 'Deep Learning', 'Jobs', 'Machine Learning', 'strategy', 'Swot Analysis', 'Value Proposition', 'Competitiveness']",Data Science
C0006,IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,,Data Science,Machine Learning,Specialization,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ","Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,",4.7,1076.0,Approximately 2 months to complete,Coursera,,,,,"['Data Science', 'Artificial Intelligence (AI)', 'Information Technology (IT) Architecture', 'Data Architecture', 'Leadership', 'Deep Learning', 'Jobs', 'Machine Learning', 'Big Data', 'Data Mining', 'Management', 'Analytics']",Data Science
C0007,Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,Specialization,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ","Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,",4.8,2171.0,Approximately 4 months to complete,Coursera,,,,,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)', 'Pivot Table', 'IBM Cognos Analytics', 'Dashboard']",Data Science
C0008,Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,Specialization,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ","Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,",4.6,7175.0,Approximately 6 months to complete,Coursera,,,,,"['Data Science', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy', 'Jupyter notebooks', 'Predictive Modelling', 'Data Visualization (DataViz)', 'Model Selection', 'Dashboards and Charts', 'dash', 'Matplotlib']",Data Science
C0009,Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,Specialization,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ","Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,",4.7,922.0,Approximately 5 months to complete,Coursera,,,,,"['Information Engineering', 'Python Programming', 'Extraction', 'Transformation And Loading (ETL)', 'Relational Database Management System (RDBMS)', 'SQL', 'Data Science', 'Database (DBMS)', 'NoSQL', 'Data Analysis', 'Pandas', 'Numpy', 'Jupyter notebooks']",Data Science
C0010,IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,Specialization,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ","IBM Security Learning Services ,",4.6,4996.0,Approximately 5 months to complete,Coursera,,,,,"['Operating System Security', 'database vulnerabilities', 'Cybersecurity', 'networking basics', 'Cyber Attacks', 'Information Security (INFOSEC)', 'IBM New Collar', 'Malware', 'Network Security', 'Sql Injection']",Cybersecurity
